Ticker / Index,Name,Date,Value,Change,ISIN
OMXBBGI,OMX_Baltic_Benchmark_GI,29.04.2005,541;64,0;36,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.05.2005,541;49,0;33,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.05.2005,540;54,0;16,
OMXBBGI,OMX_Baltic_Benchmark_GI,04.05.2005,540;73,0;19,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.05.2005,541;11,0;26,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.05.2005,540;85,0;21,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.05.2005,541;73,0;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.05.2005,541;55,0;34,
OMXBBGI,OMX_Baltic_Benchmark_GI,11.05.2005,540;09,0;07,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.05.2005,541;34,0;3,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.05.2005,540;82,0;21,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.05.2005,541;22,0;28,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.05.2005,541;84,0;4,
OMXBBGI,OMX_Baltic_Benchmark_GI,18.05.2005,540;87,0;22,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.05.2005,541;11,0;26,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.05.2005,541;3,0;3,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.05.2005,539;24,-0;09,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.05.2005,538;72,-0;18,
OMXBBGI,OMX_Baltic_Benchmark_GI,25.05.2005,539;65,-0;01,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.05.2005,539;16,-0;1,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.05.2005,538;61,-0;2,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.05.2005,538;11,-0;29,
OMXBBGI,OMX_Baltic_Benchmark_GI,31.05.2005,539;23,-0;09,
OMXBBGI,OMX_Baltic_Benchmark_GI,01.06.2005,539;02,-0;13,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.06.2005,539;32,-0;07,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.06.2005,539;86,0;03,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.06.2005,540;02,0;06,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.06.2005,539;3,-0;07,
